==========================================
Mass Fraction MPI Run
==========================================
Date:               Mon Sep  7 22:42:58 CDT 2026
Host:               ac063
Array job ID:       2099372
Array task ID:      1
MPI ranks:          8
CPUs per task:      1
Nodes allocated:    1
Python:             /scratch/user/u.hm357857/.conda/envs/comets/bin/python
Conda environment:  /scratch/user/u.hm357857/.conda/envs/comets
==========================================

Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
t=59717  fraction=0.42875  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.42875  below=0/3
t=73651  fraction=0.53875  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.53875  below=0/3
t=61708  fraction=0.45375  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.45375  below=0/3
t=64694  fraction=0.48875  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.48875  below=0/3
t=62703  fraction=0.47625  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.47625  below=0/3
t=70665  fraction=0.49375  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.49375  below=0/3
t=66684  fraction=0.50375  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.50375  below=0/3
t=74646  fraction=0.54000  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54000  below=0/3
t=60712  fraction=0.43625  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.43625  below=0/3
t=65689  fraction=0.49375  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.49375  below=0/3
t=62703  fraction=0.45750  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.45750  below=0/3
t=63698  fraction=0.47875  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.47875  below=0/3
t=71661  fraction=0.49625  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.49625  below=0/3
t=67679  fraction=0.50875  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.50875  below=0/3
t=75642  fraction=0.54125  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54125  below=0/3
t=61708  fraction=0.44125  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.44125  below=0/3
t=66684  fraction=0.49875  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.49875  below=0/3
t=63698  fraction=0.46125  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.46125  below=0/3
t=72656  fraction=0.49875  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.49875  below=0/3
t=64694  fraction=0.47875  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.47875  below=0/3
t=76637  fraction=0.54375  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54250  below=0/3
t=68675  fraction=0.51125  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.51125  below=0/3
t=62703  fraction=0.44500  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.44500  below=0/3
t=67679  fraction=0.50125  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.50125  below=0/3
t=64694  fraction=0.46875  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.46875  below=0/3
t=73651  fraction=0.50000  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.50000  below=0/3
t=65689  fraction=0.48375  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.48375  below=0/3
t=77632  fraction=0.54500  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54375  below=0/3
t=69670  fraction=0.50125  peak_slope=1.683e-05  t_peak=34835  comparison cadence=69670  difference=0.50125  below=0/3
t=69670  fraction=0.51750  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.51750  below=0/3
t=63698  fraction=0.44500  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.44500  below=0/3
t=68675  fraction=0.50250  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.50250  below=0/3
t=74646  fraction=0.50125  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.50125  below=0/3
t=65689  fraction=0.47125  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.47125  below=0/3
t=78628  fraction=0.54750  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54500  below=0/3
t=66684  fraction=0.48750  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.48750  below=0/3
t=70665  fraction=0.50750  peak_slope=1.683e-05  t_peak=34835  comparison cadence=69670  difference=0.50750  below=0/3
t=70665  fraction=0.52250  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.52250  below=0/3
t=75642  fraction=0.50250  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.50250  below=0/3
t=69670  fraction=0.50375  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.50250  below=0/3
t=64694  fraction=0.44625  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.44625  below=0/3
t=79623  fraction=0.55250  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.54250  below=0/3
t=66684  fraction=0.47375  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.47375  below=0/3
t=67679  fraction=0.49000  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.49000  below=0/3
t=71661  fraction=0.51000  peak_slope=1.683e-05  t_peak=34835  comparison cadence=69670  difference=0.51000  below=0/3
t=71661  fraction=0.52375  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.52375  below=0/3
t=76637  fraction=0.50375  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.50375  below=0/3
t=70665  fraction=0.50750  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.50125  below=0/3
t=80618  fraction=0.55500  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.53750  below=0/3
t=65689  fraction=0.45125  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.45125  below=0/3
t=67679  fraction=0.47625  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.47625  below=0/3
