m_planet,time,x,y,z,vx,vy,vz
0.030027,32000.0,1.2882210611950493,0.9504066337334897,-0.07492662758597061,-3.2416637259565193,4.112364306590264,0.24966139465047987
0.030027,32000.0,0.25550847043319996,0.14559307937505916,-0.014976161319798498,-5.095354697220571,10.575192770241264,-0.04465547062975637
0.030027,32000.0,1.0994773054431557,1.408856353789368,0.12369135647120585,-3.6576267152251707,2.9409967442954423,-0.24376486688099733
0.030027,32000.0,-1.327469111977306,1.1492823452618437,0.03344976308962563,-3.297685319572587,-3.4810154666746422,0.2589577084261235
0.030027,32001.0,-0.33050036578685454,-1.6915031309732838,0.06058385088110788,4.7844787691287065,-0.8640191788022958,0.3139784761557299
0.030027,32000.0,1.1836424878935887,-1.0339338696054774,0.01781356831460674,3.409742648929667,3.9744712491857985,-0.10597481644762145
0.030027,32000.0,-1.0534318342513294,1.2999658337075002,-0.008035363945757976,-3.9151105120755507,-2.924724064061021,-0.07741980529149062
0.030027,32000.0,-0.020766787258771586,0.4179092791253595,-0.01308569684652027,-9.95259177790191,-0.8481924191390942,-0.7189122801002099
0.030027,32000.0,1.6471337554897494,-0.1038946540176065,-0.0027352718189807643,0.48725432847262473,5.006769332925225,0.23474469164559075
0.030027,32000.0,0.373043600906534,-0.03991075260517027,-0.005005958616476282,1.2244396345648698,10.462477237509985,0.6834266931012173
0.030027,32000.0,1.6579872576293921,0.6147745335296652,0.04271731981324751,-1.8498868709510172,4.435458645456171,-0.2661432588213097
0.030027,32000.0,-0.4499475697719452,0.17731214015437186,-0.031742562806030154,-4.257696804727452,-7.105751212793261,0.32454135977594906
0.030027,32000.0,0.5029502226999403,-0.09616270102415586,0.024106137496239993,1.6543261083009857,8.142999477184224,-0.48850787018610287
0.030027,32000.0,1.6464988163626073,-0.46010660951214594,-0.009120346328762012,1.5374095645143757,4.708580929958373,-0.028762992553654443
0.030027,32001.0,0.2112777926182164,0.44422533366910394,-0.05219919649291876,-7.380700118035488,3.9674341025460462,0.18839681197642866
0.030027,32000.0,0.5061367930399646,0.2299980316499575,-0.022433284357015068,-3.7944290191833425,6.804827483701977,0.16621106749730039
0.030027,32000.0,-1.7187387831803531,-0.005790016070677112,0.10855597731021399,-0.013727038962102256,-4.899457262922153,0.06423743536465162
0.030027,32000.0,0.23922808792705338,-0.3302316169062988,-0.014773757665169156,8.495258108298069,6.783735644060943,-0.39319888562860933
0.030027,32000.0,-0.37110765628322967,0.2320247290725996,-0.031176292523083255,-4.612900217620154,-7.739496571073005,0.19059195744781252
0.030027,32000.0,0.44576764484682374,-0.2778398451518097,-0.017344302722191007,4.673779137173629,7.617624565286178,-0.693714878312685
0.030027,32000.0,0.03801323040605459,-0.5222785366762187,0.037517215265076724,9.516676691237182,1.813434964531538,0.14662428958723914
0.030027,32000.0,0.20994762216887577,-0.18317125380300014,0.017526742911196755,8.046567147669531,8.91844231358494,-0.8342603795349003
0.030027,32000.0,-0.22604083651723705,-0.46925878507248975,-0.03277403314190989,8.815314995630663,-4.407409636763981,0.009432579537511728
0.030027,32000.0,1.4323971907837285,1.0424785437602246,-0.05989857411007957,-2.803303882395367,3.82098325203353,0.38785875529991065
0.030027,32000.0,0.32924696146649857,-0.30072163603240454,-0.02163115084256701,5.699283164692259,7.982974788142177,-0.35786920534930783
0.030027,32000.0,-0.04859925824503457,-0.4646777955623447,0.026433298034408723,10.270234461537674,0.26779455760382814,-0.8348506702114313
0.030027,32000.0,0.2831519884526258,-0.09401693064205804,0.009664616938274688,1.9597445447378559,11.249042006313905,-0.10438588965095436
0.030027,32000.0,-1.6180589632487166,0.542230865675409,-0.011391313987018217,-1.7027102224936241,-4.630060508411089,-0.21337028356009616
0.030027,32000.0,-0.03696315896687254,0.4604500352652569,0.006711775937381061,-8.558654755699408,-0.7335975000439321,0.06573064703084687
0.030027,32000.0,-0.3640287138446236,-0.42261676122571934,0.027417764786693506,5.068439521672848,-6.142255829186742,0.09503723663936456
0.030027,32000.0,1.6623406301856773,0.5641935866512922,0.1321209131801863,-1.5863196786071485,4.507368505996186,-0.056673860561827154
0.030027,32000.0,-0.049280263411564586,0.31134536811189245,0.0019204858517515788,-11.071738494683407,-2.1039531395603213,-0.2269138000210371
0.030027,32000.0,-0.32732766591469803,0.3198080971554957,0.039743112846980184,-6.806569747010816,-6.392777678781532,-0.014655385092378015
0.030027,32000.0,-0.3956528979512278,-0.2891982924436282,-0.0002516757070530822,6.762539163158575,-7.262435367236024,-0.0011284167698448278
0.030027,32000.0,0.11154001357853041,-0.4113591910526784,0.008149114177940153,9.479409842220301,2.7635326783665803,0.1871087887690546
0.030027,32000.0,-0.33555450366748174,0.04297911453056163,-0.0141981269563136,-0.25385877834886234,-10.745958052932671,-0.2811257852695823
0.030027,32000.0,0.6796653900377094,-0.04518002843422639,0.03666772835456899,0.06917752668219579,6.902346058007539,-0.12762919741627524
0.030027,32000.0,-0.2918510109312808,-0.36359300467805095,-0.028697037516878944,6.973698391262215,-6.725758397549905,0.258709197979036
0.030027,32000.0,0.2831911298226069,-0.19826419990460165,-0.0032183441454612816,6.460065212557111,9.000483583210313,-0.5283273242414724
0.030027,32000.0,0.01537609199032258,-0.441341143086084,-0.016714952825336582,9.686152620223805,-0.025084559671910284,0.32277469801529435
0.030027,32000.0,0.08569003001053183,0.3541125487631285,0.012715695841045514,-9.456938752250124,1.610112239385081,0.8137753196634375
0.030027,32000.0,0.34517892608573986,0.029902278902789844,0.013817919712567421,-1.4450899166307845,10.925429313764795,0.2710316243087178
0.030027,32000.0,0.05561175182620769,0.3022474827780596,-0.02498855113206811,-10.970744411940121,2.8074925823239028,-0.20753049356620423
0.030027,32000.0,0.037143700376691596,-0.37355219943580664,-0.009777036221357917,11.416600301672531,1.515089808535409,1.0278423452157621
0.030027,32000.0,1.4253011839305116,1.0278585592788763,-0.004308361998932985,-2.9794212141797427,3.8176908644484704,-0.029609609811672606
0.030027,32000.0,-0.11657089907926886,-0.3228826615986887,-0.0067048925825251545,11.282324584199115,-4.719490266256576,-0.3414015226799051
0.030027,32000.0,0.32856722902990515,-0.4563000177662317,-0.011845667635875091,6.968299726438351,5.422195840353811,-0.5101199681147758
0.030027,32000.0,-0.20364164945900978,-0.009710525563910007,0.003563130174153826,-1.40037766740252,-14.341454869607315,1.1825543017522484
0.030027,32000.0,0.26166456956467915,-0.15898790457725323,0.0019305523100224685,5.476624854786462,9.939693600545601,0.025629659348452065
0.030027,32000.0,1.5598539670738854,0.73316430982651,0.09618797835718709,-2.220759644674357,4.3394769646686715,-0.06360200660601795
0.030027,32000.0,-0.25499707177378683,-0.43087606363926856,0.025007026032269203,7.967897303393952,-5.452635526580812,0.7640165039761907
0.030027,32000.0,0.19222436801956932,0.15079653428873133,-0.004552771253640409,-8.583762665347539,9.5504919659396,0.05819726057494027
0.030027,32000.0,1.4805454772466855,0.41848624338333396,-0.0003450196005044935,-1.4575724663012717,5.2197565369664565,0.0025533022275346963
