5e-05,2905000.0,148566,Ejected
5e-05,4026000.0,148559,Ejected
5e-05,2974000.0,148554,Ejected
5e-05,4457000.0,148573,Ejected
5e-05,4042000.0,148543,Ejected
0.0001,1292000.0,150393,Ejected
0.0001,987000.0,150371,Ejected
0.0001,2193000.0,150374,Ejected
0.0001,2380000.0,150366,Ejected
0.0001,1851000.0,150369,Ejected
0.0001,1698000.0,150394,Ejected
0.0001,2388000.0,150358,Ejected
0.0001,1755000.0,150373,Ejected
0.0001,1081000.0,150398,Ejected
0.0001,1140000.0,150370,Ejected
0.0001,1862000.0,150364,Ejected
0.0001,2273000.0,150383,Ejected
0.0001,1901000.0,150404,Ejected
0.0001,2683000.0,150396,Ejected
0.0001,4659000.0,150357,Ejected
0.0001,2327000.0,150365,Ejected
0.0001,2097000.0,150368,Ejected
0.0001,3818000.0,150372,Ejected
0.0001,2287000.0,150375,Ejected
0.0001,3726000.0,150395,Ejected
0.0001,4885000.0,150367,Ejected
0.0001,3552000.0,150379,Ejected
0.0001,4799000.0,150387,Ejected
0.00030027,152000.0,159427,Ejected
0.00030027,259000.0,159443,Ejected
0.00030027,267000.0,159426,Ejected
0.00030027,139000.0,159401,Ejected
0.00030027,420000.0,159424,Ejected
0.00030027,130000.0,159421,Ejected
0.00030027,473000.0,159440,Ejected
0.00030027,392000.0,159415,Ejected
0.00030027,225000.0,159444,Ejected
0.00030027,274000.0,159431,Ejected
0.00030027,145000.0,159434,Ejected
0.00030027,371000.0,159425,Ejected
0.00030027,254000.0,159435,Ejected
0.00030027,592000.0,159428,Ejected
0.00030027,240000.0,159437,Ejected
0.00030027,434000.0,159423,Ejected
0.00030027,296000.0,159445,Ejected
0.00030027,235000.0,159397,Ejected
0.00030027,386000.0,159411,Ejected
0.00030027,348000.0,159400,Ejected
0.00030027,507000.0,159419,Ejected
0.00030027,495000.0,159403,Ejected
0.00030027,392000.0,159412,Ejected
0.00030027,205000.0,159399,Ejected
0.00030027,494000.0,159422,Ejected
0.00030027,1004000.0,159405,Ejected
0.00030027,1121000.0,159408,Ejected
