m_planet,time,a
0.00030027,2406000.0,0.8408470948085639
0.00030027,2406000.0,0.9886702289878013
0.00030027,2406000.0,0.9820254649092165
0.00030027,2406000.0,0.9906318361978189
0.00030027,2406000.0,1.1625621972471603
0.00030027,2406000.0,0.9957933471078786
0.00030027,2406000.0,14588.885078405778
0.00030027,2406000.0,1.0216603839780884
0.00030027,2406000.0,0.9806836673175136
0.00030027,2406000.0,0.9726532111545125
0.00030027,2406000.0,1.03102933188601
0.00030027,2406000.0,1.0246364368032173
0.00030027,2406000.0,24452.377330237097
0.00030027,2406000.0,0.9623087445347309
0.00030027,2406000.0,0.9592354312816057
0.00030027,2406000.0,0.6218170249979005
0.00030027,2406000.0,1.0231859166858872
0.00030027,2406000.0,0.8503678292091688
0.00030027,2406000.0,0.9930694978471292
0.00030027,2406000.0,1.0002185795030551
0.00030027,2406000.0,1.0027054512004476
0.00030027,2406000.0,1.0048803418227963
0.00030027,2406000.0,1.0255555882490475
0.00030027,2406000.0,1.0003754158118534
0.00030027,2406000.0,-19961.2579812013
0.00030027,2406000.0,0.8462278232021982
0.00030027,2406000.0,0.9866741571777028
0.00030027,2406000.0,1.0220956017814262
0.00030027,2406000.0,16799.21577163797
0.00030027,2406000.0,0.9726632105440621
0.00030027,2406000.0,0.8539291441453047
0.00030027,2406000.0,1.1686663103727961
0.00030027,2406000.0,0.8449363516922405
0.00030027,2406000.0,1.0200086931330499
0.00030027,2406000.0,0.8545728735512006
0.00030027,2406000.0,0.8407319337841844
0.00030027,2406000.0,0.8415065944578245
0.00030027,2406000.0,1.0192748663752538
0.00030027,2406000.0,0.9722437345384322
0.00030027,2406000.0,1.0221478063257698
0.00030027,2406000.0,0.9780247650083643
0.00030027,2406000.0,1.0055249937853552
0.00030027,2406000.0,18740.285525673447
0.00030027,2406000.0,1.008016409194309
0.00030027,2406000.0,21762.213449178216
0.00030027,2406000.0,1.024563637606113
0.00030027,2406000.0,0.9725093749480718
0.00030027,2406000.0,1.0260063182303305
0.00030027,2406000.0,0.9847533049725958
0.00030027,2406000.0,0.9854365975562736
0.00030027,2406000.0,1.0018579738932485
0.00030027,2406000.0,0.8531316456569678
0.00030027,2406000.0,0.9811886884671502
0.00030027,2406000.0,1.027354157724437
0.00030027,2406000.0,23884.064829863375
0.00030027,2406000.0,1.0379384285653348
0.00030027,2406000.0,0.838374372678057
0.00030027,2406000.0,0.9822029910544713
0.00030027,2406000.0,0.8491227337411484
0.00030027,2406000.0,0.8556648814546155
0.00030027,2406000.0,0.9755815639723424
0.00030027,2406000.0,0.9932185720341389
0.00030027,2406000.0,1.004829637497448
0.00030027,2406000.0,0.986605082335461
0.00030027,2406000.0,0.9703483783940311
0.00030027,2406000.0,0.680265306028415
0.00030027,2406000.0,0.99688983145644
0.00030027,2406000.0,0.9832723215375638
0.00030027,2406000.0,1.006067073666763
0.00030027,2406000.0,13188.438978214008
0.00030027,2406000.0,0.9933076370073869
