0.01,0.0,Captured,25
0.01,0.0,Captured,17
0.01,0.0,Captured,171
0.01,0.0,Captured,51
0.01,0.0,Captured,138
0.01,0.0,Captured,136
0.01,14925.557853149838,Ejected,50
0.01,15920.595043359826,Ejected,107
0.01,16915.632233569817,Ejected,183
0.01,14925.557853149838,Ejected,184
0.01,19900.74380419978,Ejected,8
0.01,16915.632233569817,Ejected,102
0.01,20895.78099440977,Ejected,174
0.01,21890.818184619762,Ejected,3
0.01,18905.706613989794,Ejected,39
0.01,15920.595043359826,Ejected,69
0.01,18905.706613989794,Ejected,114
0.01,22885.85537482975,Ejected,126
0.01,18905.706613989794,Ejected,41
0.01,18905.706613989794,Ejected,125
0.01,20895.78099440977,Ejected,49
0.01,20895.78099440977,Ejected,69
0.01,23880.89256503974,Ejected,158
0.01,18905.706613989794,Ejected,170
0.01,20895.78099440977,Ejected,98
0.01,20895.78099440977,Ejected,168
0.01,20895.78099440977,Ejected,182
0.01,17910.669423779804,Ejected,111
0.01,19900.74380419978,Ejected,78
0.01,24875.92975524973,Ejected,187
0.01,20895.78099440977,Ejected,4
0.01,20895.78099440977,Ejected,9
0.01,21890.818184619762,Ejected,151
0.01,18905.706613989794,Captured,58
0.01,22885.85537482975,Ejected,48
0.01,20895.78099440977,Ejected,105
0.01,20895.78099440977,Ejected,138
0.01,22885.85537482975,Ejected,96
0.01,22885.85537482975,Ejected,106
0.01,26866.004135669707,Ejected,114
0.01,23880.89256503974,Ejected,6
0.01,23880.89256503974,Ejected,14
0.01,19900.74380419978,Ejected,88
0.01,27861.041325879698,Ejected,119
0.01,19900.74380419978,Ejected,191
0.01,22885.85537482975,Ejected,12
0.01,20895.78099440977,Ejected,14
0.01,20895.78099440977,Ejected,54
0.01,20895.78099440977,Ejected,79
0.01,20895.78099440977,Ejected,82
0.01,28856.078516089685,Ejected,134
0.01,28856.078516089685,Ejected,156
0.01,22885.85537482975,Ejected,158
0.01,28856.078516089685,Ejected,172
0.01,22885.85537482975,Ejected,175
0.01,28856.078516089685,Ejected,194
0.01,22885.85537482975,Ejected,197
0.01,24875.92975524973,Ejected,194
0.01,29851.115706299675,Ejected,60
0.01,29851.115706299675,Ejected,82
0.01,29851.115706299675,Ejected,123
0.01,29851.115706299675,Ejected,125
0.01,25870.966945459717,Ejected,115
0.01,23880.89256503974,Ejected,120
0.01,30846.152896509662,Ejected,15
0.01,30846.152896509662,Ejected,78
0.01,24875.92975524973,Ejected,6
0.01,30846.152896509662,Ejected,87
0.01,22885.85537482975,Ejected,27
0.01,24875.92975524973,Ejected,93
0.01,30846.152896509662,Ejected,188
0.01,30846.152896509662,Ejected,190
0.01,31841.190086719653,Ejected,14
0.01,31841.190086719653,Ejected,17
0.01,24875.92975524973,Ejected,124
0.01,26866.004135669707,Ejected,159
0.01,31841.190086719653,Ejected,91
0.01,26866.004135669707,Ejected,186
0.01,22885.85537482975,Ejected,192
0.01,27861.041325879698,Ejected,76
0.01,31841.190086719653,Ejected,192
0.01,27861.041325879698,Ejected,122
0.01,23880.89256503974,Ejected,35
0.01,25870.966945459717,Ejected,107
0.01,25870.966945459717,Ejected,139
0.01,32836.22727692964,Ejected,130
0.01,32836.22727692964,Ejected,151
0.01,25870.966945459717,Ejected,189
0.01,33831.264467139634,Ejected,29
0.01,33831.264467139634,Ejected,38
0.01,28856.078516089685,Ejected,87
0.01,23880.89256503974,Ejected,183
0.01,33831.264467139634,Ejected,110
0.01,26866.004135669707,Ejected,108
0.01,26866.004135669707,Ejected,133
0.01,24875.92975524973,Ejected,73
0.01,24875.92975524973,Ejected,86
0.01,28856.078516089685,Ejected,199
0.01,24875.92975524973,Ejected,96
0.01,29851.115706299675,Ejected,33
0.01,34826.30165734962,Ejected,64
0.01,30846.152896509662,Ejected,31
0.01,25870.966945459717,Ejected,65
0.01,35821.33884755961,Ejected,69
0.01,28856.078516089685,Ejected,15
0.01,25870.966945459717,Ejected,131
0.01,28856.078516089685,Ejected,87
0.01,28856.078516089685,Ejected,92
0.01,31841.190086719653,Ejected,24
0.01,28856.078516089685,Ejected,179
0.01,31841.190086719653,Ejected,84
0.01,29851.115706299675,Ejected,27
0.01,36816.3760377696,Ejected,196
0.01,26866.004135669707,Ejected,159
0.01,29851.115706299675,Ejected,96
0.01,37811.41322797959,Ejected,112
0.01,29851.115706299675,Ejected,159
0.01,37811.41322797959,Ejected,169
0.01,27861.041325879698,Ejected,71
0.01,38806.450418189575,Ejected,33
0.01,27861.041325879698,Ejected,110
0.01,38806.450418189575,Ejected,88
0.01,30846.152896509662,Ejected,83
0.01,33831.264467139634,Ejected,21
0.01,38806.450418189575,Ejected,136
0.01,33831.264467139634,Ejected,35
