m_planet,time,a,e
0.0025118864315095794,68913.50283733263,1.0062905768587376,0.06338554774345474
0.0025118864315095794,68912.5040909147,Unbound,4.994577376329695
0.0025118864315095794,68913.50283733263,0.9989451920368507,0.07888066529645167
0.0025118864315095794,68912.5040909147,Unbound,1.1440920254908133
0.0025118864315095794,68912.5040909147,Unbound,1.445417212390269
0.0025118864315095794,68912.5040909147,Unbound,1.7124309658296573
0.0025118864315095794,68914.50158375056,0.6493702882278081,0.15597331755806754
0.0025118864315095794,68912.5040909147,Unbound,1.0595562088018502
0.0025118864315095794,68912.5040909147,Unbound,1.0862192364227576
0.0025118864315095794,68913.50283733263,1.012629589877875,0.09928410275284777
0.0025118864315095794,68912.5040909147,Unbound,1.425839173971844
0.0025118864315095794,68913.50283733263,8169.765827543943,0.9885601303749577
0.0025118864315095794,68913.50283733263,4562.133631639683,0.9896695420060418
0.0025118864315095794,68913.50283733263,0.6978204906047406,0.17872999652736438
0.0025118864315095794,68912.5040909147,Unbound,1.0002482450249441
0.0025118864315095794,68913.50283733263,0.6820291608006038,0.1824269291023954
0.0025118864315095794,68913.50283733263,1.350007569875011,0.076863616633876
0.0025118864315095794,68913.50283733263,2109.3610254705172,0.9672332923697545
0.0025118864315095794,68912.5040909147,Unbound,6.19171634868072
0.0025118864315095794,68912.5040909147,Unbound,2.4194378036113315
0.0025118864315095794,68912.5040909147,Unbound,2.7972555417064604
0.0025118864315095794,68912.5040909147,Unbound,3.3146430523564985
0.0025118864315095794,68912.5040909147,Unbound,6.677126118050551
0.0025118864315095794,68913.50283733263,1509.9657919485435,0.9998543124392203
0.0025118864315095794,68913.50283733263,0.7176112501019033,0.019213455868985853
0.0025118864315095794,68912.5040909147,Unbound,8.566392437823257
0.0025118864315095794,68912.5040909147,Unbound,2.2314379702984515
0.0025118864315095794,68913.50283733263,0.6624849405807455,0.09064903047535776
0.0025118864315095794,68912.5040909147,Unbound,7.743549359519974
0.0025118864315095794,68913.50283733263,0.5587086981021026,0.49657196330628794
0.0025118864315095794,68913.50283733263,0.6837674104401111,0.1965889390406271
0.0025118864315095794,68912.5040909147,Unbound,1.4422614481490987
0.0025118864315095794,68913.50283733263,1.0046126520673004,0.05139083397861571
