m_planet,time,a
0.00400422,179000.0,-327.60853382464546
0.00400422,179000.0,-299.4256917796162
0.00400422,179000.0,-1150.4698805294206
0.00400422,179000.0,3551.565924228557
0.00400422,179000.0,5008.3038361198805
0.00400422,179000.0,-224.02405930956073
0.00400422,179000.0,-44082.57140087992
0.00400422,179000.0,221.26825424796925
0.00400422,179000.0,-284.18265303662434
0.00400422,179000.0,-551.965440279657
0.00400422,179000.0,-96.79237735164976
0.00400422,179000.0,1871.3176001288653
0.00400422,179000.0,-389.76838149815785
0.00400422,179000.0,-311.8211575444543
0.00400422,179000.0,-786.1652358637241
0.00400422,179000.0,4041.459064104442
0.00400422,179000.0,-138.4400857224734
0.00400422,179000.0,-243.208513100513
0.00400422,179000.0,-1799.649398806223
0.00400422,179000.0,-817.3916153164329
0.00400422,179000.0,-355.2240454123488
0.00400422,179000.0,-1367.2352139713623
0.00400422,179000.0,-196.60742108287
0.00400422,179000.0,-470.12898121593673
0.00400422,179000.0,-539.3552928302744
0.00400422,179000.0,-622.0738510570159
0.00400422,179000.0,-908.7204287355632
0.00400422,179000.0,-1355.8175970672037
0.00400422,179000.0,-308.5009846375856
0.00400422,179000.0,913.918641038905
0.00400422,179000.0,-2521.958435488792
0.00400422,179000.0,-216.09898330297182
0.00400422,179000.0,216.2400746517311
0.00400422,179000.0,-1213.8232152205005
0.00400422,179000.0,15493.69267224356
0.00400422,179000.0,3820.347651183029
0.00400422,179000.0,66880.76920639623
0.00400422,179000.0,-160.3550168910819
0.00400422,179000.0,4656.404182379073
0.00400422,179000.0,-146.20100366811
0.00400422,179000.0,23499.30990134911
0.00400422,179000.0,-3353.753467603014
0.00400422,179000.0,-487.7403432708667
0.00400422,179000.0,-937.5110378072119
0.00400422,179000.0,-354.0202170353756
0.00400422,179000.0,-488.5581798183599
0.00400422,179000.0,303.4874633326383
0.00400422,179000.0,-685.2068022288656
0.00400422,179000.0,-163.9255907661316
0.00400422,179000.0,167.8799391231188
0.00400422,179000.0,-141.0576732679865
0.00400422,179000.0,-1630.3988480707012
0.00400422,179000.0,1776.8409312324598
0.00400422,179000.0,-582.1398106997926
0.00400422,179000.0,-1281.2152282703264
0.00400422,179000.0,-4423.377921083841
0.00400422,179000.0,51.8905891133884
0.00400422,179000.0,7.338715374804661
0.00400422,179000.0,-519.5493510444385
0.00400422,179000.0,-1636.9973854314303
0.00400422,179000.0,1416.320807948543
0.00400422,179000.0,-2848.0708466375413
0.00400422,179000.0,96.3614254896344
0.00400422,179000.0,-1233.082089532548
0.00400422,179000.0,8577.061042065829
0.00400422,179000.0,253.26320510245827
0.00400422,179000.0,4354.006999752698
0.00400422,179000.0,4177.721851359052
0.00400422,179000.0,-22245.47496003576
0.00400422,179000.0,-1137.2165493141156
0.00400422,179000.0,-677.7808933935925
0.00400422,179000.0,-2994.382713917108
0.00400422,179000.0,-652.8783226332215
0.00400422,179000.0,-165.13886952131665
0.00400422,179000.0,-3948.9514126072945
0.00400422,179000.0,8353.106377286404
0.00400422,179000.0,7.439445451768301
0.00400422,179000.0,3538.3067018013076
