m_planet,time,a,e
0.01,163186.09919443823,1.9581853740926467,0.10882268028354594
0.01,163186.09919443823,1.776497212135989,0.08555777629872097
0.01,163186.09919443823,2.045400909489188,0.10879440376686517
0.01,163186.09919443823,1.037571323049742,0.13120820254590285
0.01,163186.09919443823,2.2698652924664966,0.11715153060587928
0.01,163186.09919443823,2.0881043938634156,0.13267335063858984
0.01,163186.09919443823,2.41322447017268,0.14777008544369777
0.01,163186.09919443823,0.6090452847729704,0.11373161983844789
0.01,163186.09919443823,0.5250033297343325,0.43992655539802317
0.01,163186.09919443823,1.6545503157720618,0.05539238867353665
0.01,163186.09919443823,2.4478197436372535,0.11458902979963027
0.01,163186.09919443823,1.9793925227629636,0.07472979396451983
0.01,163186.09919443823,2.3445150158347867,0.02960061720733795
0.01,163186.09919443823,0.580614517323405,0.25937979223601604
0.01,163186.09919443823,2.0968554117709495,0.05123212544267414
0.01,163186.09919443823,2.411157210597698,0.21084212146629064
0.01,163186.09919443823,0.6098152465996777,0.2234267996120372
0.01,163186.09919443823,2.4039385091014007,0.10226119188977309
0.01,163186.09919443823,2.016763446161288,0.11290084098946408
0.01,163185.10415724802,Unbound,8.445320312518128
0.01,163186.09919443823,0.5395747010294693,0.3665120382460723
0.01,163186.09919443823,0.5703872790239578,0.08609907050934969
0.01,163185.10415724802,Unbound,3.9558799643888944
0.01,163186.09919443823,2.2562040743606366,0.11409610717094171
0.01,163186.09919443823,0.5450764336706146,0.3840956290217425
0.01,163185.10415724802,Unbound,11.165694480024614
0.01,163186.09919443823,0.49078698007196214,0.08759486627849095
0.01,163186.09919443823,0.5519006738898682,0.11376012504175184
0.01,163186.09919443823,2.4176359036636925,0.025378923625067877
0.01,163186.09919443823,2.0066494745580936,0.10334320495185532
0.01,163186.09919443823,2.1746485970431415,0.09478796045110356
0.01,163186.09919443823,0.5537597385891984,0.1087700226907247
0.01,163186.09919443823,1.9482013425748532,0.03526259091194429
0.01,163186.09919443823,2.424553970236961,0.035584102382623
0.01,163186.09919443823,1.9805284333857498,0.145652388525214
0.01,163186.09919443823,2.130375859247688,0.19580113902952606
0.01,163186.09919443823,2.117897606358229,0.05919046997481252
0.01,163186.09919443823,1.9319018734786988,0.03411198092974802
0.01,163186.09919443823,2.347415657534214,0.15100447491757132
0.01,163185.10415724802,Unbound,10.619250108028922
0.01,163186.09919443823,1.759628381503799,0.13032501773838978
0.01,163186.09919443823,2.166720799325883,0.17843182377526126
0.01,163186.09919443823,0.6137711658815036,0.18111928119859375
0.01,163186.09919443823,0.9952534643563867,0.027444848375435586
0.01,163186.09919443823,1.8143866921197922,0.021388814631620574
0.01,163186.09919443823,1.6375138478551179,0.05743013669006494
0.01,163186.09919443823,0.5955205900716731,0.21676632478552985
0.01,163186.09919443823,2.150431567496092,0.10785049958499728
0.01,163186.09919443823,1.7348925267960176,0.08085854278564693
0.01,163185.10415724802,Unbound,5.50655647755018
0.01,163186.09919443823,1.702731248433904,0.15754990534129593
0.01,163186.09919443823,0.5156579431349555,0.05822001928722843
0.01,163186.09919443823,0.5158100415080858,0.05505539303968423
0.01,163186.09919443823,1.6484342309406368,0.08812192204886969
0.01,163186.09919443823,1.57081233280373,0.16684641531403785
0.01,163186.09919443823,1.9547377873145848,0.2765509336741608
0.01,163186.09919443823,2.6064127719122783,0.3190817038540737
0.01,163186.09919443823,0.5696178513794825,0.21253907588813517
0.01,163186.09919443823,2.4321536667236767,0.18392138309913758
0.01,163186.09919443823,1.7794978106353192,0.05292040752012569
0.01,163186.09919443823,0.5021815172003393,0.07951365284045275
0.01,163186.09919443823,2.294745314447804,0.06647465341369362
0.01,163185.10415724802,Unbound,12.797139083112906
0.01,163186.09919443823,1.6748398416326884,0.018135265634476695
0.01,163186.09919443823,2.4405538094591788,0.09580800966661135
0.01,163186.09919443823,1.9558594874881658,0.07425040035719653
0.01,163186.09919443823,1.0287099851883572,0.05528962393812681
0.01,163186.09919443823,2.1274933597317562,0.13487707988277994
0.01,163186.09919443823,0.5391634484769203,0.05386417118952109
0.01,163186.09919443823,2.163939595331584,0.07022629331835335
0.01,163186.09919443823,2.0005473976694783,0.1702292435645863
0.01,163186.09919443823,2.184289847409068,0.08053798842600854
0.01,163186.09919443823,2.0324485143937054,0.1912748453150708
0.01,163186.09919443823,2.2832462776809734,0.16503165106910864
0.01,163186.09919443823,2.314866207149549,0.17344293874914024
0.01,163186.09919443823,0.6112947632441806,0.0520702114931436
0.01,163186.09919443823,0.5873184092123719,0.08629892885154847
0.01,163186.09919443823,0.5718363891781865,0.17976249177095519
0.01,163186.09919443823,1.6251764401190822,0.13970851525633174
0.01,163186.09919443823,0.5690246226411018,0.1503271224551541
0.01,163186.09919443823,0.6082450505219714,0.07507809379007523
0.01,163186.09919443823,2.187508468536122,0.05433008962743436
0.01,163186.09919443823,2.3615512714293736,0.09893281918108512
0.01,163186.09919443823,2.6080964305864436,0.18535623255547357
0.01,163186.09919443823,2.340515273698272,0.11366505654643165
