0.01,0.0,Captured
0.01,0.0,Captured
0.01,0.0,Captured
0.01,0.0,Captured
0.01,14925.557853149838,Captured
0.01,16915.632233569817,Ejected
0.01,17910.669423779804,Ejected
0.01,17910.669423779804,Ejected
0.01,15920.595043359826,Ejected
0.01,17910.669423779804,Ejected
0.01,18905.706613989794,Ejected
0.01,18905.706613989794,Ejected
0.01,16915.632233569817,Ejected
0.01,18905.706613989794,Ejected
0.01,19900.74380419978,Ejected
0.01,19900.74380419978,Ejected
0.01,17910.669423779804,Ejected
0.01,19900.74380419978,Ejected
0.01,19900.74380419978,Ejected
0.01,19900.74380419978,Ejected
0.01,20895.78099440977,Ejected
0.01,18905.706613989794,Ejected
0.01,17910.669423779804,Ejected
0.01,20895.78099440977,Ejected
0.01,18905.706613989794,Ejected
0.01,18905.706613989794,Ejected
0.01,18905.706613989794,Ejected
0.01,21890.818184619762,Ejected
0.01,21890.818184619762,Ejected
0.01,21890.818184619762,Ejected
0.01,21890.818184619762,Ejected
0.01,20895.78099440977,Ejected
0.01,22885.85537482975,Ejected
0.01,20895.78099440977,Ejected
0.01,22885.85537482975,Ejected
0.01,19900.74380419978,Ejected
0.01,20895.78099440977,Ejected
0.01,18905.706613989794,Ejected
0.01,22885.85537482975,Ejected
0.01,22885.85537482975,Ejected
0.01,18905.706613989794,Ejected
0.01,21890.818184619762,Ejected
0.01,21890.818184619762,Ejected
0.01,20895.78099440977,Ejected
0.01,23880.89256503974,Ejected
0.01,20895.78099440977,Ejected
0.01,21890.818184619762,Ejected
0.01,23880.89256503974,Ejected
0.01,19900.74380419978,Ejected
0.01,24875.92975524973,Ejected
0.01,22885.85537482975,Ejected
0.01,24875.92975524973,Ejected
0.01,22885.85537482975,Ejected
0.01,20895.78099440977,Ejected
0.01,24875.92975524973,Ejected
0.01,23880.89256503974,Ejected
0.01,21890.818184619762,Ejected
0.01,21890.818184619762,Ejected
0.01,25870.966945459717,Ejected
0.01,21890.818184619762,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,25870.966945459717,Ejected
0.01,20895.78099440977,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,22885.85537482975,Ejected
0.01,26866.004135669707,Ejected
0.01,24875.92975524973,Ejected
0.01,26866.004135669707,Ejected
0.01,24875.92975524973,Ejected
0.01,24875.92975524973,Ejected
0.01,26866.004135669707,Ejected
0.01,27861.041325879698,Ejected
0.01,27861.041325879698,Ejected
0.01,27861.041325879698,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,27861.041325879698,Ejected
0.01,23880.89256503974,Ejected
0.01,22885.85537482975,Ejected
0.01,27861.041325879698,Ejected
0.01,27861.041325879698,Ejected
0.01,22885.85537482975,Ejected
0.01,24875.92975524973,Ejected
0.01,25870.966945459717,Ejected
0.01,25870.966945459717,Ejected
0.01,22885.85537482975,Ejected
0.01,28856.078516089685,Ejected
0.01,22885.85537482975,Ejected
0.01,25870.966945459717,Ejected
0.01,24875.92975524973,Ejected
0.01,28856.078516089685,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,23880.89256503974,Ejected
0.01,26866.004135669707,Ejected
0.01,25870.966945459717,Ejected
0.01,25870.966945459717,Ejected
0.01,29851.115706299675,Ejected
0.01,25870.966945459717,Ejected
0.01,27861.041325879698,Ejected
0.01,23880.89256503974,Ejected
0.01,27861.041325879698,Ejected
0.01,29851.115706299675,Ejected
0.01,24875.92975524973,Ejected
0.01,25870.966945459717,Ejected
0.01,27861.041325879698,Ejected
0.01,29851.115706299675,Ejected
0.01,29851.115706299675,Ejected
0.01,25870.966945459717,Ejected
0.01,27861.041325879698,Ejected
0.01,27861.041325879698,Ejected
0.01,30846.152896509662,Ejected
0.01,24875.92975524973,Ejected
0.01,24875.92975524973,Ejected
0.01,26866.004135669707,Ejected
0.01,26866.004135669707,Ejected
0.01,28856.078516089685,Ejected
0.01,30846.152896509662,Ejected
0.01,25870.966945459717,Ejected
0.01,28856.078516089685,Ejected
0.01,25870.966945459717,Ejected
0.01,26866.004135669707,Ejected
0.01,25870.966945459717,Ejected
0.01,26866.004135669707,Ejected
0.01,28856.078516089685,Ejected
0.01,31841.190086719653,Ejected
0.01,29851.115706299675,Ejected
0.01,31841.190086719653,Ejected
0.01,27861.041325879698,Ejected
0.01,29851.115706299675,Ejected
0.01,31841.190086719653,Ejected
0.01,25870.966945459717,Ejected
0.01,32836.22727692964,Ejected
0.01,26866.004135669707,Ejected
0.01,29851.115706299675,Ejected
0.01,29851.115706299675,Ejected
0.01,32836.22727692964,Ejected
0.01,28856.078516089685,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,32836.22727692964,Ejected
0.01,28856.078516089685,Ejected
0.01,28856.078516089685,Ejected
0.01,33831.264467139634,Ejected
0.01,28856.078516089685,Ejected
0.01,33831.264467139634,Ejected
0.01,28856.078516089685,Ejected
0.01,28856.078516089685,Ejected
0.01,29851.115706299675,Ejected
0.01,29851.115706299675,Ejected
0.01,31841.190086719653,Ejected
0.01,29851.115706299675,Ejected
0.01,34826.30165734962,Ejected
0.01,31841.190086719653,Ejected
0.01,29851.115706299675,Ejected
0.01,27861.041325879698,Ejected
0.01,31841.190086719653,Ejected
0.01,27861.041325879698,Ejected
0.01,28856.078516089685,Ejected
0.01,28856.078516089685,Ejected
0.01,29851.115706299675,Ejected
0.01,34826.30165734962,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,30846.152896509662,Ejected
0.01,32836.22727692964,Ejected
0.01,35821.33884755961,Ejected
0.01,28856.078516089685,Ejected
0.01,32836.22727692964,Ejected
0.01,28856.078516089685,Ejected
0.01,35821.33884755961,Ejected
