m_planet,time,a
0.00071206,866000.0,-17499.077490665688
0.00071206,866000.0,5870.887484434632
0.00071206,866000.0,15842.515720260972
0.00071206,866000.0,-83463.80865471892
0.00071206,866000.0,84297.11756715011
0.00071206,866000.0,8977.285504629597
0.00071206,866000.0,-2943.147707385501
0.00071206,866000.0,10935.516847319346
0.00071206,866000.0,-641.8554693388473
0.00071206,866000.0,-33097.37896254376
0.00071206,866000.0,-50843.72833289859
0.00071206,866000.0,-10495.734611984712
0.00071206,866000.0,26398.489567111843
0.00071206,866000.0,-709.6215859758784
0.00071206,866000.0,9713.72674666135
0.00071206,866000.0,14084.523306880794
0.00071206,866000.0,556271.2075186161
0.00071206,866000.0,-7097.452254686524
0.00071206,866000.0,-25211.603347240558
0.00071206,866000.0,12127.566248107078
0.00071206,866000.0,-292099.6212279005
0.00071206,866000.0,43770.71810276124
0.00071206,866000.0,20987.83901028925
0.00071206,866000.0,-3889.7739472977587
0.00071206,866000.0,-129595.86323356906
0.00071206,866000.0,11396.525022439257
0.00071206,866000.0,-5464.583995905279
0.00071206,866000.0,8512.828709532889
0.00071206,866000.0,9318.38052574025
0.00071206,866000.0,-2791.2786503088228
0.00071206,866000.0,-65819.84573482368
0.00071206,866000.0,5.719903884849815
0.00071206,866000.0,-30905.657908595207
0.00071206,866000.0,30176.97610811805
